,stock_ticker,Year,Sales Turnover,Other Income,Total Income,Total Expenses,Operating profit,Gross Profit,Interest,PBDT,Depreciation,PBT,Tax,Net Profit,Earnings Per Share,Equity,Preference Capital,Reserves,Face Value
2,sesagoa,MAR'15,"3,25,024.00","20,088.60","3,45,113.00","2,78,738.00","66,375.00","29,791.40","36,559.30","-6,767.90",0.00,"19,674.70",402.70,"19,272.00",6.50,"2,965.00",0.00,"3,37,614.00",1.00
3,sesagoa,MAR'14,"2,85,365.00","18,170.60","3,03,536.00","2,62,246.00","41,289.80","4,331.40","35,649.60","-31,318.20",0.00,"-10,716.50","-21,477.40","10,760.90",3.63,"2,965.00",0.00,"3,33,823.00",1.00
4,sesagoa,MAR'13,"21,879.20","3,419.90","25,299.10","18,460.70","6,838.40","2,049.00","4,692.30","-2,643.30",0.00,569.90,-637.80,"1,207.70",1.39,869.10,0.00,"1,29,369.00",1.00
0,indusindbk,MAR'17,"1,44,057.00","41,714.90","1,85,772.00","47,830.80","54,510.10",0.00,"83,430.70","-83,430.70",0.00,"43,596.80","14,917.90","28,678.90",48.06,"5,981.50",0.00,"1,96,734.00",10.00
1,indusindbk,MAR'16,"1,15,807.00","32,969.50","1,48,776.00","36,721.00","41,414.20","34,692.60","70,640.90","-35,948.30",0.00,"34,692.60","11,828.10","22,864.50",39.68,"5,949.90",0.00,"1,67,202.00",10.00
2,indusindbk,MAR'15,"96,919.70","24,038.70","1,20,958.00","27,259.30","30,982.20",0.00,"62,716.90","-62,716.90",0.00,"27,091.70","9,154.50","17,937.20",33.99,"5,294.50",0.00,"97,240.80",10.00
3,indusindbk,MAR'14,"82,535.30","18,905.30","1,01,441.00","21,852.80","25,959.60","21,283.30","53,628.20","-32,344.90",0.00,"21,283.30","7,203.10","14,080.20",26.85,"5,256.40",0.00,"81,200.50",10.00
4,indusindbk,MAR'13,"69,832.30","13,629.60","83,461.90","17,563.60","18,394.60","15,763.60","47,503.70","-31,740.10",0.00,"15,763.60","5,151.80","10,611.80",21.83,"5,228.70",0.00,"68,947.00",10.00
0,adaniports,MAR'17,"48,788.60","14,850.00","63,638.60","14,268.10","49,370.50","38,336.50","11,034.00","27,302.50",0.00,"32,929.40","1,923.30","31,006.10",14.97,"4,141.90",0.00,"1,64,507.00",2.00
1,adaniports,MAR'16,"46,307.50","10,777.30","57,084.80","13,360.20","43,724.60","34,456.60","9,268.00","25,188.60",0.00,"29,237.30",821.50,"28,415.80",13.72,"4,141.90",0.00,"1,32,114.00",2.00
