stock_ticker,Year,Sales Turnover,Other Income,Total Income,Total Expenses,Operating profit,Gross Profit,Interest,PBDT,Net Profit,Tax,Earnings Per Share,Unnamed: 0,Book Value (in ?),Employee Cost,Equity Dividend (%),Net Sales,Total Expenditure,ROA(%),ROE(%),ROCE(%),PER(x),PCE(x),Price / Book(x),Yield(%),M Cap / Sales,Total Debt / Equity(x),close_price
INFY,31-Mar-14,"4,43,410.00","25,760.00","4,69,170.00","3,18,140.00","1,51,030.00","1,51,030.00",0,"1,51,030.00","1,01,940.00","38,080.00",178.39,3,735.87,"24,350.00","1,260.00","44,341.00","31,808.00",21.5,26.09,35.85,4.6,16.6,4.46,1.92,4.23,0,"3,282.80"
INFY,01-Jul-13,"3,67,650.00","22,980.00","3,90,630.00","2,57,500.00","1,33,130.00","1,33,130.00",0,"1,33,130.00","91,160.00","32,410.00",157.55,4,628.21,"19,932.00",840,"36,765.00","25,749.00",23.29,27.7,37.56,4.55,16.47,4.6,1.45,4.51,0,"2,451.00"
KOTAKBANK,31-Mar-17,"1,76,989.00","34,771.60","2,11,761.00","56,185.00","59,848.10",0,"95,727.80","-95,727.80","34,115.00","17,365.70",18.57,0,0,,0,,,1.68,13.23,13.85,47.06,43.37,5.81,0.07,9.07,0.05,872.2
KOTAKBANK,31-Mar-16,"1,63,842.00","26,122.30","1,89,964.00","54,715.20","40,410.90",0,"94,838.10","-94,838.10","20,897.80","10,339.40",11.42,1,0,,0,,,1.4,10.97,13.32,59.78,52.55,5.21,0.07,7.62,0.05,680.65
KOTAKBANK,31-Mar-15,"97,198.70","20,284.50","1,17,483.00","32,547.30","29,974.60",0,"54,961.30","-54,961.30","18,659.80","9,669.80",24.2,2,0,,0,,,1.93,14.13,14.57,27.18,49.26,7.17,0.07,10.43,0.05,"1,313.25"
KOTAKBANK,31-Mar-14,"87,671.20","13,997.10","1,01,668.00","25,426.10","25,771.50","22,724.50","50,470.70","-27,746.20","15,025.20","7,699.30",19.62,3,0,,0,,,1.75,13.83,12.73,39.89,35.94,4.88,0.1,6.84,0.05,781.05
KOTAKBANK,01-Jul-13,"80,424.90","11,606.70","92,031.60","22,097.30","21,566.10","19,720.60","48,368.20","-28,647.60","13,607.20","6,113.40",18.31,4,0,,0,,,1.82,15.65,12.72,35.74,32.57,5.15,0.11,6.05,0.04,723.95
ICICIBANK,31-Mar-17,"5,41,563.00","1,95,045.00","7,36,608.00","1,47,551.00","2,64,867.00",0,"3,24,190.00","-3,24,190.00","98,010.90","14,775.20",16.84,0,0,,0,,,1.31,10.66,8.13,14.97,15.29,1.67,0.9,2.98,0.06,276.85
ICICIBANK,31-Mar-16,"5,27,394.00","1,53,230.00","6,80,625.00","1,26,836.00","2,38,635.00","1,21,957.00","3,15,154.00","-1,93,197.00","97,262.90","24,694.30",16.75,1,0,,0,,,1.42,11.63,8.57,12.86,13.22,1.58,2.11,2.61,0.06,236.65
ICICIBANK,31-Mar-15,"4,90,911.00","1,21,761.00","6,12,673.00","1,14,958.00","1,97,199.00",0,"3,00,515.00","-3,00,515.00","1,11,754.00","46,445.70",19.32,2,0,,0,,,1.8,14.55,10.64,16.36,15.49,2.27,1.59,3.72,0.07,315.5
ICICIBANK,31-Mar-14,"4,41,782.00","1,04,279.00","5,46,060.00","1,03,089.00","1,65,946.00","1,39,682.00","2,77,026.00","-1,37,344.00","98,104.80","41,576.90",84.99,3,0,,0,,,1.73,14.02,10.82,2.93,13.89,1.96,1.85,3.26,0.07,"1,245.05"
ICICIBANK,01-Jul-13,"4,00,756.00","83,457.00","4,84,213.00","90,128.80","1,31,992.00","1,13,967.00","2,62,092.00","-1,48,125.00","83,254.70","30,712.20",72.2,4,0,,0,,,1.62,13.1,10.04,2.9,13.73,1.81,1.91,3.01,0.07,"1,067.90"
BHARTIARTL,31-Mar-17,"6,22,763.00","1,843.00","6,24,606.00","3,85,834.00","2,38,772.00","36,939.00","29,125.00","7,814.00","-99,256.00","14,161.00",-24.84,0,252.19,"1,738.50",20,"62,276.30","38,583.40",-5.33,-9.36,-2.04,0,61.41,1.39,0.29,2.25,0,350.05
BHARTIARTL,31-Mar-16,"6,03,002.00","14,856.00","6,17,858.00","3,79,640.00","2,38,218.00","1,95,829.00","35,590.00","1,60,239.00","75,465.00","24,933.00",18.88,1,278.55,"1,864.80",27.2,"60,300.30","37,989.10",4.81,8.22,10.74,18.03,8.08,1.26,0.39,2.33,0,350.8
BHARTIARTL,31-Mar-15,"5,54,964.00","51,930.00","6,06,894.00","3,60,653.00","2,46,241.00","2,32,150.00","14,091.00","2,18,059.00","1,32,005.00","24,548.00",33.02,2,195.21,"1,691.50",77,"55,496.40","36,065.30",10.58,18.27,19.31,11.93,7.58,2.02,0.98,2.84,0,393.3
BHARTIARTL,31-Mar-14,"4,99,185.00","8,534.00","5,07,719.00","3,36,197.00","1,71,522.00","1,56,087.00","13,364.00","1,42,723.00","66,002.00","17,772.00",16.51,3,166.33,"1,648.10",36,"49,918.50","33,619.70",6.7,10.97,13.36,19.31,9.22,1.92,0.56,2.55,0,317.75
