,Book Value (in ?),Earnings Per Share (in ?),Employee Cost,Equity Dividend (%),Interest,Net Sales,Operating Profit,Other Income,PBDT,Total Expenditure,Year,stock_ticker
0,150.49,33.56,"4,854.22",800.00,45.82,"13,433.35","6,092.58",969.17,"6,046.76","8,309.94",MAR'16,hcltech
1,135.60,45.13,"5,924.62","1,500.00",60.64,"17,153.44","8,059.10","1,199.90","7,998.46","10,294.24",JUN'15,hcltech
2,220.09,85.49,"5,123.95",500.00,81.65,"16,497.37","7,970.01",659.51,"7,888.36","9,186.87",JUN'14,hcltech
3,141.86,51.82,"4,628.61",600.00,76.46,"12,517.82","4,969.57",379.12,"4,893.11","7,927.37",JUN'13,hcltech
4,89.88,28.13,"3,923.06",600.00,97.27,"8,907.22","2,811.08",301.22,"2,713.81","6,397.36",JUN'12,hcltech
0,61.28,-7.30,"3,558.52",0.00,"1,590.15","44,364.00","2,477.48","1,231.29",887.33,"43,117.81",MAR'17,tatamotors
1,65.81,0.69,"3,026.75",10.00,"1,481.11","42,369.82","4,448.46","2,132.92","2,967.35","40,054.28",MAR'16,tatamotors
2,46.11,-14.72,"3,091.46",0.00,"1,611.68","36,301.63",643.93,"1,881.41",-967.75,"37,539.11",MAR'15,tatamotors
3,59.51,1.04,"2,877.69",100.00,"1,353.18","34,288.11","2,937.54","3,833.03","1,584.36","35,183.60",MAR'14,tatamotors
4,59.91,0.95,"2,837.00",100.00,"1,387.76","44,765.72","3,796.51","2,088.20","2,408.75","43,057.41",MAR'13,tatamotors
0,89.25,-4.46,"1,480.51",100.00,530.64,"7,614.46",-3.16,561.22,-533.80,"8,178.84",MAR'16,sunpharma
1,109.74,-7.12,"1,487.65",300.00,551.25,"8,028.44",-347.04,317.78,-898.29,"8,693.26",MAR'15,sunpharma
2,35.77,-13.66,279.63,150.00,18.38,"2,828.79",194.83,245.42,176.45,"2,879.38",MAR'14,sunpharma
3,75.21,4.99,234.87,500.00,0.44,"2,432.14",749.29,270.75,748.85,"1,953.60",MAR'13,sunpharma
4,76.07,16.39,316.56,425.00,0.43,"4,015.56","2,101.90",364.54,"2,101.47","2,278.20",MAR'12,sunpharma
0,0.00,0.00,,0.00,,,,"11,691.31",,,MAR'17,axisbank
1,0.00,0.00,,0.00,,,,"9,371.46",,,MAR'16,axisbank
