,Book Value (in ?),Employee Cost,Equity Dividend (%),Net Sales,Total Expenditure,Year,stock_ticker
0,87.79,274.60,160.00,"6,084.70","4,006.30",MAR'17,binfra
1,99.80,257.80,30.00,"5,558.30","3,138.80",MAR'16,binfra
2,94.55,244.40,110.00,"5,388.90","3,002.10",MAR'15,binfra
3,93.26,215.10,44.00,"4,999.30","2,924.20",MAR'14,binfra
4,92.86,208.70,55.00,"4,460.10","2,718.70",MAR'13,binfra
0,241.11,993.57,55.00,"51,914.15","47,648.10",MAR'16,gail
1,229.56,902.62,60.00,"56,741.98","52,063.67",MAR'15,gail
2,213.42,843.50,104.00,"57,507.93","50,827.60",MAR'14,gail
3,191.00,782.30,96.00,"47,522.69","41,162.90",MAR'13,gail
4,170.49,717.97,87.00,"40,440.76","34,868.22",MAR'12,gail
0,0.00,"4,605.13",100.00,"47,993.02","36,190.93",MAR'17,tatasteel
1,0.00,"4,319.89",80.00,"38,221.49","30,610.91",MAR'16,tatasteel
2,684.62,"4,601.92",80.00,"41,785.00","31,853.61",MAR'15,tatasteel
3,627.59,"3,673.08",100.00,"41,711.03","28,960.75",MAR'14,tatasteel
4,566.94,"3,602.27",80.00,"38,199.43","27,204.12",MAR'13,tatasteel
0,96.06,593.72,140.00,"9,239.88","7,557.19",DEC'16,ambujacem
1,66.41,589.52,140.00,"9,431.43","7,899.96",DEC'15,ambujacem
2,65.13,581.58,250.00,"9,951.97","8,023.53",DEC'14,ambujacem
3,61.24,502.17,180.00,"9,149.45","7,482.51",DEC'13,ambujacem
4,56.94,478.51,180.00,"9,686.18","7,213.21",DEC'12,ambujacem
0,46.06,288.90,250.00,"4,928.40","3,423.40",MAR'17,zeel
1,37.58,301.50,225.00,"4,206.50","3,117.60",MAR'16,zeel
2,26.75,272.90,225.00,"3,426.20","2,393.90",MAR'15,zeel
3,20.32,217.30,200.00,"3,075.70","2,045.20",MAR'14,zeel
4,35.14,184.80,200.00,"2,565.90","1,703.60",MAR'13,zeel
0,249.25,368.63,"2,250.00","8,007.49","1,001.47",MAR'16,ibulhsgfin
1,182.51,279.28,"1,300.00","6,291.52",804.06,MAR'15,ibulhsgfin
2,163.58,220.57,"1,450.00","5,253.86",587.99,MAR'14,ibulhsgfin
3,154.34,203.62,"1,000.00","4,460.97",511.31,MAR'13,ibulhsgfin
4,61.35,12.03,0.00,785.51,61.94,MAR'12,ibulhsgfin
0,179.36,"1,698.06",100.00,"34,317.66","31,011.01",MAR'16,hindalco
1,180.30,"1,589.48",100.00,"34,525.03","31,153.78",MAR'15,hindalco
2,177.83,"1,345.47",100.00,"27,850.93","25,708.18",MAR'14,hindalco
3,174.54,"1,200.80",140.00,"26,056.93","23,857.64",MAR'13,hindalco
4,164.41,"1,113.35",155.00,"26,596.78","23,622.56",MAR'12,hindalco
0,323.44,"1,403.03",375.00,"12,753.15","8,267.03",MAR'17,lupin
1,261.84,"1,218.09",375.00,"11,343.77","7,356.77",MAR'16,lupin
2,199.59,"1,052.55",375.00,"9,752.47","6,379.22",MAR'15,lupin
3,155.06,844.32,300.00,"8,939.38","6,027.05",MAR'14,lupin
4,108.14,726.44,200.00,"7,122.51","5,238.59",MAR'13,lupin
0,158.37,"1,728.97",100.00,"10,768.49","9,172.23",MAR'17,cipla
1,148.08,"1,778.56",100.00,"11,950.69","9,897.26",MAR'16,cipla
2,137.12,"1,499.63",100.00,"10,131.78","8,170.47",MAR'15,cipla
3,125.31,"1,284.75",100.00,"9,456.90","7,467.37",MAR'14,cipla
4,110.36,969.28,100.00,"8,202.42","6,083.28",MAR'13,cipla
0,116.38,809.79,250.00,"9,166.18","6,717.14",MAR'16,auropharma
1,183.55,668.75,450.00,"8,095.10","5,844.68",MAR'15,auropharma
2,137.65,514.21,300.00,"7,110.71","5,191.24",MAR'14,auropharma
3,100.93,431.42,150.00,"5,425.10","4,467.04",MAR'13,auropharma
