stock_ticker,Year,ROA(%),ROE(%),ROCE(%),PER(x),PCE(x),Price / Book(x),Yield(%),M Cap / Sales,Total Debt / Equity(x)
GAIL,MAR'13,9.27,17.54,20.75,10.07,8.09,1.67,3.01,0.85,0
GAIL,MAR'12,10.27,17.88,22.48,13.02,10.7,2.2,2.32,1.18,0
TATASTEEL,MAR'17,0,0,0,0,6.71,1.02,0,0,0
TATASTEEL,MAR'16,0,0,0,0,7.92,0.63,0,0,0
TATASTEEL,MAR'15,5.67,10.11,11.15,4.78,3.65,0.46,2.52,0.74,0
TATASTEEL,MAR'14,6.01,11.05,13.11,5.97,4.59,0.63,2.54,0.92,0
TATASTEEL,MAR'13,5.1,9.46,11.75,5.99,4.52,0.55,2.56,0.79,0
AMBUJACEM,DEC'16,5.19,6.6,9.57,42.21,22.49,2.15,1.36,4.43,0
AMBUJACEM,DEC'15,5.76,7.92,12.35,39.07,22.01,3.06,1.38,3.35,0
AMBUJACEM,DEC'14,11.14,15.3,18.8,23.69,17.67,3.51,2.19,3.56,0
AMBUJACEM,DEC'13,10.24,14.19,17.19,21.82,15.83,2.98,1.97,3.09,0
AMBUJACEM,DEC'12,10.87,15.42,23.31,23.89,16.64,3.53,1.79,3.2,0
ZEEL,MAR'17,15.25,25.76,31.27,49.64,46.19,11.61,0.47,10.41,0
ZEEL,MAR'16,11.22,21.31,25.79,56.36,51.66,10.28,0.58,8.82,0
ZEEL,MAR'15,16.2,36.81,28.36,46.16,36.87,12.77,0.66,9.57,0
ZEEL,MAR'14,17.76,29.12,32.27,34.15,32.35,13.37,0.74,8.48,0
ZEEL,MAR'13,17.08,20.19,30.01,31.38,30.07,6,0.95,7.84,0
IBULHSGFIN,MAR'16,3.44,27.01,12.89,11.88,11.78,2.59,6.96,3.4,0
IBULHSGFIN,MAR'15,3.97,33.1,13.86,10.02,9.93,3.06,4.66,3.15,0
IBULHSGFIN,MAR'14,3.65,29.36,13.51,5.23,5.2,1.45,12.27,1.5,0
IBULHSGFIN,MAR'13,5.23,42.5,19.56,0,0,0,0,0,0
IBULHSGFIN,MAR'12,4.47,29.61,13.97,0,0,0,0,0,0
HINDALCO,MAR'16,0.8,1.63,4.7,29.9,9.64,0.49,1.14,0.53,0
HINDALCO,MAR'15,1.24,2.5,4.44,28.83,15.14,0.72,0.77,0.77,0
HINDALCO,MAR'14,2.01,4.03,3.96,20.7,13.08,0.8,0.71,1.05,0
