,stock_ticker,Year,ROA(%),ROE(%),ROCE(%),PER(x),PCE(x),Price / Book(x),Yield(%),M Cap / Sales,Total Debt / Equity(x)
2,axisbank,MAR'15,1.74,17.75,14.25,18.05,17.11,2.97,0.82,3.74,0.06
3,axisbank,MAR'14,1.72,17.43,15.20,2.21,10.43,1.80,1.37,2.24,0.06
4,axisbank,MAR'13,1.65,18.53,15.01,2.35,11.01,1.84,1.38,2.24,0.06
0,powergrid,MAR'16,3.41,14.90,10.10,12.07,5.96,1.70,1.66,3.50,0.00
1,powergrid,MAR'15,3.18,13.71,9.79,15.26,7.55,1.99,1.38,4.42,0.00
2,powergrid,MAR'14,3.46,14.82,10.63,12.22,6.47,1.59,2.46,3.61,0.00
3,powergrid,MAR'13,4.11,17.03,12.01,11.58,6.47,1.87,2.60,3.84,0.00
4,powergrid,MAR'12,3.88,14.51,12.19,15.35,8.57,2.13,1.96,4.91,0.00
0,ultracemco,MAR'17,6.77,11.54,14.48,41.68,28.12,4.58,0.25,4.58,0.00
1,ultracemco,MAR'16,6.45,11.72,13.57,37.36,24.15,4.10,0.29,3.74,0.00
2,ultracemco,MAR'15,6.20,11.21,14.14,39.16,25.06,4.19,0.31,3.44,0.00
3,ultracemco,MAR'14,7.50,13.27,14.41,27.99,18.78,3.51,0.41,2.96,0.00
4,ultracemco,MAR'13,10.55,18.91,21.43,19.29,14.22,3.36,0.48,2.54,0.00
0,asianpaint,MAR'17,19.04,28.01,41.39,56.98,48.96,14.78,0.96,8.12,0.00
1,asianpaint,MAR'16,20.29,31.96,47.50,51.35,44.86,14.06,0.86,7.04,0.00
2,asianpaint,MAR'15,18.97,33.90,49.62,58.44,50.03,18.34,0.75,6.66,0.00
3,asianpaint,MAR'14,18.91,35.30,51.10,44.84,37.95,14.56,0.97,5.03,0.00
4,asianpaint,MAR'13,20.11,38.11,53.39,4.49,40.05,15.60,0.94,5.26,0.00
0,bpcl,MAR'16,10.20,30.04,28.55,4.39,7.02,2.41,3.44,0.34,0.00
1,bpcl,MAR'15,7.17,24.35,21.28,5.76,7.71,2.61,2.78,0.25,0.00
2,bpcl,MAR'14,5.84,22.58,18.24,8.20,5.28,1.72,3.69,0.13,0.00
3,bpcl,MAR'13,3.99,16.77,14.96,10.35,5.98,1.65,2.91,0.11,0.00
4,bpcl,MAR'12,2.16,9.05,10.39,9.64,7.91,1.70,1.57,0.12,0.00
0,sesagoa,MAR'17,6.41,13.96,12.47,9.23,7.27,1.28,7.08,2.79,0.00
1,sesagoa,MAR'16,-9.18,-21.08,-15.36,0.00,-4.39,0.42,3.89,0.98,0.00
2,sesagoa,MAR'15,2.38,5.70,7.80,29.15,19.11,1.65,2.16,1.73,0.00
3,sesagoa,MAR'14,2.11,4.62,5.52,51.79,21.59,1.66,1.73,1.95,0.00
4,sesagoa,MAR'13,0.67,0.93,3.06,112.01,50.35,1.04,0.06,5.76,0.00
0,indusindbk,MAR'17,1.78,15.27,13.45,29.40,27.56,4.16,0.43,5.85,0.06
1,indusindbk,MAR'16,1.80,16.60,13.83,25.18,23.57,3.33,0.47,4.85,0.05
2,indusindbk,MAR'15,1.80,19.01,13.83,26.05,24.33,4.56,0.45,4.82,0.05
3,indusindbk,MAR'14,1.76,17.56,15.20,18.70,17.49,3.05,0.70,3.19,0.07
4,indusindbk,MAR'13,1.62,17.81,15.07,19.95,18.65,2.86,0.74,3.03,0.06
0,adaniports,MAR'17,9.21,20.38,13.50,22.70,19.33,4.17,0.38,14.42,0.00
1,adaniports,MAR'16,10.65,23.98,15.41,17.30,14.72,3.78,0.44,11.11,0.00
2,adaniports,MAR'15,9.35,21.38,13.90,29.21,23.87,5.72,0.36,16.31,0.00
3,adaniports,MAR'14,10.30,25.25,17.83,19.25,15.70,4.19,0.53,8.92,0.00
4,adaniports,MAR'13,11.16,29.43,17.60,15.85,13.26,4.15,0.72,8.27,0.00
0,eichermot,MAR'17,27.11,50.42,72.59,44.57,40.58,17.93,0.39,9.88,0.00
1,eichermot,MAR'16,38.81,73.87,103.27,39.71,35.96,22.49,0.52,8.40,0.00
2,eichermot,DEC'14,30.11,54.40,77.68,73.23,67.20,33.18,0.33,13.50,0.00
3,eichermot,DEC'13,22.22,38.42,49.82,48.30,43.55,16.38,0.60,7.90,0.00
4,eichermot,DEC'12,16.03,24.76,29.30,54.15,48.41,12.46,0.69,7.47,0.00
0,bajaj-auto,MAR'17,20.52,25.26,34.95,21.23,19.65,4.77,1.96,3.73,0.00
1,bajaj-auto,MAR'16,24.52,32.80,45.88,17.72,16.43,5.25,2.29,3.08,0.00
2,bajaj-auto,MAR'15,18.57,27.72,39.97,20.75,18.97,5.46,2.48,2.70,0.00
3,bajaj-auto,MAR'14,23.83,37.05,52.47,18.54,17.58,6.26,2.41,2.98,0.00
4,bajaj-auto,MAR'13,25.83,43.66,60.28,17.07,16.20,6.57,2.51,2.60,0.00
0,yesbank,MAR'17,1.75,18.58,14.08,21.23,20.20,3.21,0.77,4.31,0.05
1,yesbank,MAR'16,1.68,19.94,13.33,14.32,13.72,2.64,1.16,2.69,0.05
