,high_price,low_price,open_price,total_traded_quantity,turnover,label
166,"1,318.45","1,291.00","1,306.00","2,04,142","2,664.00","1,309.70"
167,"1,338.90","1,295.00","1,338.90","2,79,526","3,669.29","1,301.40"
168,"1,375.00","1,307.85","1,349.00","4,12,210","5,495.37","1,338.85"
169,"1,431.95","1,328.50","1,396.10","11,36,295","15,643.35","1,334.55"
170,"1,448.90","1,391.45","1,448.90","2,81,691","3,955.67","1,400.45"
171,"1,497.00","1,450.05","1,470.00","3,79,958","5,623.16","1,456.80"
172,"1,467.00","1,358.00","1,451.15","5,70,189","8,169.17","1,455.20"
173,"1,512.00","1,489.55","1,491.90","2,05,365","3,082.60","1,507.90"
174,"1,517.00","1,483.25","1,499.20","2,52,525","3,779.42","1,487.65"
175,"1,526.35","1,474.10","1,511.70","3,62,809","5,426.77","1,490.05"
176,"1,521.45","1,487.65","1,488.25","3,56,296","5,377.55","1,510.10"
177,"1,512.00","1,483.00","1,483.00","1,92,484","2,881.31","1,488.15"
178,"1,528.70","1,499.00","1,514.70","2,27,928","3,447.59","1,503.85"
179,"1,527.45","1,515.00","1,519.70","36,562",556.08,"1,517.75"
180,"1,532.00","1,508.60","1,526.65","1,43,281","2,174.03","1,516.70"
181,"1,545.60","1,514.10","1,540.00","4,54,542","6,930.78","1,525.00"
182,"1,549.00","1,535.00","1,546.35","1,82,378","2,815.07","1,543.00"
183,"1,568.00","1,547.60","1,568.00","2,10,532","3,270.90","1,551.65"
184,"1,586.70","1,551.25","1,560.20","3,37,777","5,287.42","1,565.90"
185,"1,614.00","1,541.85","1,612.00","16,07,644","25,160.14","1,566.15"
186,"1,627.80","1,604.80","1,620.00","1,45,915","2,355.15","1,609.45"
187,"1,627.00","1,606.40","1,619.80","1,58,539","2,562.05","1,610.55"
188,"1,618.00","1,590.50","1,607.00","2,95,645","4,754.05","1,616.00"
189,"1,644.90","1,598.20","1,641.00","3,26,387","5,275.52","1,604.70"
190,"1,651.00","1,630.05","1,636.00","1,82,239","2,990.03","1,640.25"
191,"1,660.00","1,622.45","1,660.00","2,16,022","3,547.54","1,632.05"
192,"1,674.00","1,623.80","1,628.80","4,20,386","6,993.62","1,668.50"
193,"1,630.70","1,608.50","1,628.90","2,62,250","4,242.41","1,625.40"
194,"1,653.00","1,619.20","1,642.00","2,52,352","4,109.07","1,629.75"
195,"1,647.90","1,622.50","1,640.00","2,64,589","4,322.97","1,638.00"
196,"1,643.40","1,622.00","1,633.70","3,54,672","5,796.69","1,637.10"
197,"1,639.00","1,605.00","1,615.00","1,51,874","2,467.14","1,631.95"
198,"1,611.85","1,576.25","1,576.25","1,55,560","2,483.46","1,599.85"
199,"1,627.40","1,577.35","1,620.00","7,18,082","11,492.70","1,588.40"
200,"1,623.00","1,603.00","1,605.00","1,23,374","1,990.85","1,616.15"
201,"1,624.00","1,604.00","1,612.30","1,48,821","2,400.92","1,608.40"
202,"1,618.50","1,593.40","1,608.20","2,44,376","3,918.80","1,610.95"
203,"1,672.00","1,610.70","1,672.00","2,68,908","4,393.08","1,617.00"
204,"1,671.00","1,640.00","1,644.00","3,14,131","5,199.73","1,666.05"
205,"1,645.75","1,625.05","1,631.50","2,05,138","3,354.11","1,629.25"
206,"1,656.30","1,625.50","1,652.00","2,76,332","4,534.86","1,632.30"
207,"1,658.00","1,632.15","1,636.00","2,56,936","4,224.47","1,652.75"
208,"1,639.90","1,613.40","1,625.00","2,50,388","4,075.73","1,626.30"
209,"1,623.85","1,592.70","1,615.05","2,26,222","3,633.84","1,611.20"
210,"1,626.90","1,582.65","1,584.00","2,82,022","4,514.71","1,620.00"
211,"1,640.00","1,570.25","1,640.00","2,56,445","4,089.65","1,582.40"
212,"1,693.00","1,651.20","1,693.00","2,87,571","4,773.01","1,653.35"
213,"1,715.00","1,683.55","1,687.20","2,61,065","4,435.33","1,692.75"
214,"1,706.80","1,682.10","1,701.00","2,46,479","4,186.29","1,696.35"
215,"1,708.25","1,673.50","1,685.00","2,83,811","4,809.77","1,698.85"
216,"1,696.00","1,665.40","1,690.30","2,33,411","3,908.54","1,669.55"
217,"1,699.00","1,668.00","1,668.00","4,60,835","7,770.70","1,687.55"
218,"1,725.00","1,688.60","1,688.60","6,12,017","10,485.61","1,709.80"
219,"1,695.00","1,640.05","1,640.50","2,93,777","4,924.15","1,688.60"
220,"1,641.85","1,623.45","1,638.00","1,18,427","1,933.02","1,634.95"
221,"1,663.40","1,622.75","1,648.20","1,32,820","2,182.85","1,638.20"
222,"1,666.10","1,641.10","1,651.00","1,92,518","3,186.00","1,645.80"
223,"1,658.70","1,640.00","1,643.00","1,33,853","2,206.19","1,647.40"
224,"1,681.80","1,630.00","1,654.00","3,08,683","5,106.89","1,654.65"
225,"1,696.00","1,655.00","1,692.65","1,98,770","3,314.56","1,660.95"
226,"1,708.05","1,682.00","1,690.00","3,43,996","5,825.61","1,691.20"
227,"1,699.95","1,677.60","1,682.50","4,13,415","7,006.97","1,692.70"
228,"1,684.70","1,641.80","1,662.70","2,96,849","4,930.77","1,675.00"
229,"1,676.95","1,653.60","1,654.30","3,50,960","5,839.88","1,663.85"
230,"1,660.00","1,621.95","1,625.05","3,36,621","5,545.77","1,652.50"
231,"1,647.55","1,584.00","1,620.00","3,78,875","6,124.43","1,618.40"
232,"1,688.00","1,611.10","1,688.00","2,12,343","3,490.99","1,618.90"
233,"1,723.95","1,674.90","1,715.00","2,92,930","4,958.17","1,685.95"
