,Unnamed: 0,date,stock_ticker,Sales Turnover,Other Income,Total Income,Total Expenses,Operating profit,Gross Profit,Interest,PBDT,Tax,Net Profit,Earnings Per Share,Equity,stock_price,nifty_price,stock_price_90d,nifty_price_90d,stock_pc_change,nifty_pc_change,status,Industry
202,202,2016-07-01,TECHM,56467.6,1750.1,58217.7,47150.3,11067.4,10921.1,146.3,10774.8,2125.3,7374.8,7.61,4852.6,511.4,8328.349609,427.15,8591.25,-16.47438404380133,3.1566925422522716,Underperform,IT
203,203,2017-07-01,DRREDDY,20897.0,488.0,21385.0,19413.0,1972.0,1808.0,164.0,1644.0,-29.0,-73.0,-0.44,829.0,2682.55,9615.0,,,,,,PHARMA
204,204,2017-04-01,BANKBARODA,108752.0,19772.8,128524.0,25389.7,30201.7,0.0,72933.0,-72933.0,2424.8,1547.2,0.67,4620.9,172.4,9237.849609,161.65,9520.900391,-6.235498839907192,3.0640332326284616,Underperform,FINANCIAL SERVICES
205,205,2017-01-01,BANKBARODA,104061.0,17749.6,121810.0,23141.1,25952.1,5157.1,72717.2,-67560.1,2630.4,2526.7,1.1,4620.9,148.9,8179.5,172.4,9237.849609,15.782404298186705,12.939050174216039,Outperform,FINANCIAL SERVICES
206,206,2016-10-01,BANKBARODA,104852.0,15614.3,120466.0,22973.3,26902.0,8943.6,70590.7,-61647.1,3422.4,5521.2,2.39,4620.9,168.9,8738.099609,153.4,8185.799805,-9.177027827116637,-6.320594050348745,Underperform,FINANCIAL SERVICES
207,207,2016-07-01,BANKBARODA,104335.0,14443.9,118779.0,21459.9,26694.9,6654.2,70624.3,-63970.1,2418.0,4236.2,1.84,4620.9,156.6,8328.349609,161.9,8591.25,3.3844189016602884,3.1566925422522716,Outperform,FINANCIAL SERVICES
208,208,2016-04-01,BANKBARODA,110144.0,17746.8,127891.0,25326.3,25724.6,0.0,76839.7,-76839.7,-10550.6,-32301.4,-14.02,4620.9,152.8,7713.049805,153.95,8287.75,0.7526178010471055,7.451011072526069,Underperform,FINANCIAL SERVICES
209,209,2017-07-01,ACC,39585.7,259.6,39845.3,33231.4,6613.9,6388.9,225.0,6163.9,1550.3,3217.5,17.13,1879.9,1587.6,9615.0,,,,,,CEMENT & CEMENT PRODUCTS
210,210,2017-04-01,ACC,36310.5,357.2,36667.7,32149.1,4518.6,4266.9,251.7,4015.2,501.7,2115.0,11.26,1879.9,1461.95,9237.849609,1568.05,9520.900391,7.257430144669784,3.0640332326284616,Outperform,CEMENT & CEMENT PRODUCTS
211,211,2017-01-01,ACC,27313.2,167.9,27481.1,24771.0,2710.1,2097.2,184.8,1912.4,-64.1,482.8,2.57,1879.9,1351.9,8179.5,1461.95,9237.849609,8.140394999630146,12.939050174216039,Underperform,CEMENT & CEMENT PRODUCTS
212,212,2016-10-01,ACC,25191.9,257.7,25449.6,22458.2,2991.4,2794.4,197.0,2597.4,424.0,841.0,4.48,1879.9,1631.95,8738.099609,1331.05,8185.799805,-18.438064891693987,-6.320594050348745,Underperform,CEMENT & CEMENT PRODUCTS
213,213,2016-07-01,ACC,29172.3,212.3,29384.6,24606.6,4778.0,4594.7,183.3,4411.4,806.4,2378.3,12.67,1879.9,1617.4,8328.349609,1588.4,8591.25,-1.7930011128972425,3.1566925422522716,Underperform,CEMENT & CEMENT PRODUCTS
214,214,2017-04-01,TATAPOWER,18904.9,1551.6,20456.5,14290.4,6166.1,-3372.5,3624.1,-6996.6,961.9,-5934.2,-2.3,2705.0,89.2,9237.849609,80.55,9520.900391,-9.697309417040364,3.0640332326284616,Underperform,ENERGY
215,215,2017-01-01,TATAPOWER,17333.8,1948.5,19282.3,13027.2,6255.1,3277.0,3488.1,-211.1,-1162.4,2826.2,0.94,2705.0,75.4,8179.5,89.2,9237.849609,18.302387267904503,12.939050174216039,Outperform,ENERGY
216,216,2016-10-01,TATAPOWER,17203.7,4929.4,22133.1,11857.7,10275.4,7803.3,3202.1,4601.2,1751.2,4473.4,1.55,2704.8,76.45,8738.099609,75.9,8185.799805,-0.7194244604316509,-6.320594050348745,Outperform,ENERGY
217,217,2016-07-01,TATAPOWER,18738.2,1255.4,19993.6,12455.5,7538.1,3695.6,2642.5,1053.1,676.1,1469.1,0.44,2704.8,74.35,8328.349609,73.65,8591.25,-0.9414929388029436,3.1566925422522716,Underperform,ENERGY
218,218,2016-04-01,TATAPOWER,20420.4,1258.5,21678.9,14295.8,7383.1,2320.3,2818.0,-497.7,110.4,517.2,0.05,2704.8,65.2,7713.049805,73.35,8287.75,12.499999999999984,7.451011072526069,Outperform,ENERGY
