Year,close_price,stock_ticker
31-Mar-14,"1,795.35",TECHM
01-Jul-13,"1,034.45",TECHM
31-Mar-17,"3,984.75",ULTRACEMCO
31-Mar-16,"3,228.75",ULTRACEMCO
31-Mar-15,"2,877.90",ULTRACEMCO
31-Mar-14,"2,186.95",ULTRACEMCO
01-Jul-13,"1,932.30",ULTRACEMCO
31-Mar-17,274.95,VEDL
31-Mar-16,89.85,VEDL
31-Mar-17,515.7,WIPRO
31-Mar-16,564.25,WIPRO
31-Mar-15,628.85,WIPRO
31-Mar-14,543.2,WIPRO
01-Jul-13,351.25,WIPRO
31-Mar-17,"1,546.75",YESBANK
31-Mar-16,865.05,YESBANK
31-Mar-15,815.75,YESBANK
31-Mar-14,413.95,YESBANK
01-Jul-13,470.15,YESBANK
31-Mar-17,535.55,ZEEL
31-Mar-16,386.95,ZEEL
31-Mar-15,341.75,ZEEL
31-Mar-14,271.35,ZEEL
01-Jul-13,247.6,ZEEL
