,Book Value (in ?),Employee Cost,Equity Dividend (%),Net Sales,Total Expenditure,Year,stock_ticker
2,369.5,865.24,500,"21,612.01","17,503.19",MAR'15,BAJAJ-AUTO
3,332.03,696.48,500,"20,149.51","16,078.77",MAR'14,BAJAJ-AUTO
4,273.07,611.76,450,"19,997.25","16,422.30",MAR'13,BAJAJ-AUTO
0,0,,0,,,MAR'17,YESBANK
1,0,,0,,,MAR'16,YESBANK
2,0,,0,,,MAR'15,YESBANK
3,0,,0,,,MAR'14,YESBANK
4,0,,0,,,MAR'13,YESBANK
0,506.13,"1,396.01","4,250.00","28,474.99","23,840.18",MAR'17,HEROMOTOCO
1,442.32,"1,315.93","3,600.00","28,442.70","23,987.73",MAR'16,HEROMOTOCO
2,327.52,"1,172.87","3,000.00","27,585.30","24,133.90",MAR'15,HEROMOTOCO
3,280.41,930.04,"3,250.00","25,275.47","21,828.26",MAR'14,HEROMOTOCO
4,250.69,820.92,"3,000.00","23,768.11","20,577.08",MAR'13,HEROMOTOCO
0,"2,639.75","1,393.20",850,"10,612.80","8,737.10",MAR'16,BOSCHLTD
1,"2,339.81","1,663.10",850,"12,085.50","10,104.20",MAR'15,BOSCHLTD
2,"2,004.55","1,179.20",550,"8,756.70","7,468.00",DEC'13,BOSCHLTD
3,"1,774.94","1,037.10",600,"8,659.10","7,309.60",DEC'12,BOSCHLTD
4,"1,505.86",896.1,"1,350.00","8,165.80","6,653.90",DEC'11,BOSCHLTD
0,87.79,274.6,160,"6,084.70","4,006.30",MAR'17,BINFRA
1,99.8,257.8,30,"5,558.30","3,138.80",MAR'16,BINFRA
2,94.55,244.4,110,"5,388.90","3,002.10",MAR'15,BINFRA
3,93.26,215.1,44,"4,999.30","2,924.20",MAR'14,BINFRA
4,92.86,208.7,55,"4,460.10","2,718.70",MAR'13,BINFRA
0,241.11,993.57,55,"51,914.15","47,648.10",MAR'16,GAIL
1,229.56,902.62,60,"56,741.98","52,063.67",MAR'15,GAIL
2,213.42,843.5,104,"57,507.93","50,827.60",MAR'14,GAIL
3,191,782.3,96,"47,522.69","41,162.90",MAR'13,GAIL
