,stock_ticker,Year,Sales Turnover,Other Income,Total Income,Total Expenses,Operating profit,Gross Profit,Interest,PBDT,Net Profit,Tax,Earnings Per Share,Unnamed: 0,Book Value (in ?),Employee Cost,Equity Dividend (%),Net Sales,Total Expenditure
88,SUNPHARMA,MAR'13,"24,321.40","1,844.00","26,165.40","18,672.50","7,492.90","7,488.50",4.4,"7,484.10","5,165.50","1,464.80",4.99,3,75.21,234.87,500,"2,432.14","1,953.60"
89,AXISBANK,MAR'17,"4,45,422.00","1,16,913.00","5,62,335.00","1,21,999.00","1,75,845.00",0,"2,64,490.00","-2,64,490.00","36,792.80","17,882.80",15.4,0,0,,0,,
90,AXISBANK,MAR'16,"4,09,880.00","93,714.60","5,03,595.00","1,01,008.00","1,61,036.00",0,"2,41,551.00","-2,41,551.00","82,236.60","41,700.90",34.59,1,0,,0,,
91,AXISBANK,MAR'15,"3,54,786.00","83,650.40","4,38,436.00","92,037.40","1,33,854.00",0,"2,12,545.00","-2,12,545.00","73,578.20","36,990.10",31.18,2,0,,0,,
92,AXISBANK,MAR'14,"3,06,412.00","74,052.20","3,80,464.00","79,007.70","1,14,561.00","93,486.30","1,86,895.00","-93,408.70","62,176.70","31,309.60",132.56,3,0,,0,,
93,AXISBANK,MAR'13,"2,71,826.00","65,511.10","3,37,337.00","69,142.40","93,031.30","75,526.90","1,75,163.00","-99,636.10","51,794.30","23,732.60",119.67,4,0,,0,,
94,POWERGRID,MAR'16,"2,08,022.00","4,789.60","2,12,812.00","24,566.70","1,88,245.00","1,38,015.00","50,229.70","87,785.30","60,267.20","15,920.10",11.52,0,81.68,"1,480.82",23.1,"20,802.22",289.48
95,POWERGRID,MAR'15,"1,71,772.00","6,028.10","1,77,800.00","24,259.30","1,53,541.00","1,13,748.00","39,793.20","73,954.80","49,791.70","13,102.10",9.52,1,72.95,"1,596.86",20,"17,177.23",159.01
96,POWERGRID,MAR'14,"1,52,303.00","4,911.30","1,57,214.00","22,944.60","1,34,270.00","1,02,594.00","31,675.20","70,918.80","44,974.20","17,663.30",8.6,2,65.87,"1,397.81",25.8,"15,230.28",321.64
97,POWERGRID,MAR'13,"1,27,578.00","6,448.10","1,34,027.00","18,214.40","1,15,812.00","89,967.80","26,091.40","63,876.40","42,345.00","14,103.60",9.15,3,56.68,"1,325.55",27.5,"12,757.85",378.85
98,ULTRACEMCO,MAR'17,"2,71,624.00","6,599.50","2,78,224.00","2,21,935.00","56,289.00","50,438.20","5,713.90","44,724.30","26,277.20","11,482.30",95.74,0,871.37,"1,413.44",100,"23,891.43","18,922.48"
99,ULTRACEMCO,MAR'16,"2,41,074.00","2,351.60","2,43,425.00","1,94,912.00","48,512.80","43,459.90","5,052.90","38,407.00","21,746.50","8,823.10",79.25,1,787.33,"1,343.02",95,"23,708.79","19,082.19"
100,ULTRACEMCO,MAR'15,"2,29,362.00","3,717.80","2,33,080.00","1,87,411.00","45,668.10","40,193.60","5,474.50","34,719.10","20,147.30","8,715.20",73.44,2,686.92,"1,218.29",90,"22,927.19","18,732.16"
101,ULTRACEMCO,MAR'14,"2,02,798.00","3,290.40","2,06,088.00","1,64,619.00","41,469.40","38,277.70","3,191.70","35,086.00","21,444.70","6,310.40",78.2,3,623.29,"1,014.63",90,"20,279.80","16,461.90"
102,ULTRACEMCO,MAR'13,"2,01,749.00","3,050.00","2,04,799.00","1,54,995.00","49,804.80","47,707.70","2,097.10","45,610.60","26,554.30","11,699.70",96.85,4,555.54,968.35,90,"20,179.96","15,504.48"
103,ASIANPAINT,MAR'17,"1,43,604.00","3,009.00","1,46,613.00","1,16,890.00","29,723.40","29,534.80",188.6,"29,346.20","18,031.00","8,549.50",18.8,0,72.47,742.83,"1,030.00","12,647.11","9,972.23"
104,ASIANPAINT,MAR'16,"1,26,459.00","2,253.00","1,28,712.00","1,01,663.00","27,048.60","26,161.10",234,"25,927.10","15,974.30","7,803.20",16.65,1,61.78,666.83,750,"11,830.33","9,349.80"
105,ASIANPAINT,MAR'15,"1,16,488.00","1,868.20","1,18,356.00","96,383.10","21,973.40","21,566.80",271.3,"21,295.50","13,274.00","6,061.70",13.84,2,44.1,606.94,610,"11,648.83","9,634.28"
