,stock_ticker,Year,Sales Turnover,Other Income,Total Income,Total Expenses,Operating profit,Gross Profit,Interest,PBDT,Net Profit,Tax,Earnings Per Share,Unnamed: 0,Book Value (in ?),Employee Cost,Equity Dividend (%),Net Sales,Total Expenditure,ROA(%),ROE(%),ROCE(%),PER(x),PCE(x),Price / Book(x),Yield(%),M Cap / Sales,Total Debt / Equity(x)
183,LUPIN,31-Mar-16,"1,12,801.00","1,938.80","1,14,740.00","72,480.10","42,259.40","42,111.60",147.8,"41,963.80","28,850.70","10,204.80",64.1,1,261.84,"1,218.09",375,"11,343.77","7,356.77",22.43,27.26,36.19,23.56,21.27,5.65,0.51,5.88,0.0
184,LUPIN,31-Mar-15,"97,524.70","1,806.30","99,331.00","63,792.20","35,538.80","35,489.80",49,"35,440.80","23,973.50","8,148.40",53.41,2,199.59,"1,052.55",375,"9,752.47","6,379.22",24.21,30.11,39.73,37.63,33.0,10.06,0.37,9.25,0.0
185,LUPIN,31-Mar-14,"89,393.80","4,153.80","93,547.60","60,270.50","33,277.10","33,067.20",209.9,"32,857.30","23,242.20","8,148.70",51.83,3,155.06,844.32,300,"8,939.38","6,027.05",29.34,39.42,50.01,18.06,16.84,6.04,0.64,4.69,0.0
186,LUPIN,01-Jul-13,"71,225.10",233.1,"71,458.20","52,385.90","19,072.30","18,739.50",332.8,"18,406.70","12,604.30","4,633.80",28.16,4,108.14,726.44,200,"7,122.51","5,238.59",19.09,29.41,33.96,22.34,19.96,5.82,0.64,3.95,0.0
187,CIPLA,31-Mar-17,"1,09,746.00","1,298.50","1,11,044.00","93,783.20","17,261.10","16,869.10",392,"16,477.10","9,749.40","2,120.00",12.13,0,158.37,"1,728.97",100,"10,768.49","9,172.23",6.33,7.91,9.34,48.88,32.31,3.74,0.34,4.43,0.0
188,CIPLA,31-Mar-16,"1,20,341.00","2,591.40","1,22,932.00","99,803.40","23,128.60","21,803.40","1,325.20","20,478.20","13,980.30","3,415.00",17.41,1,148.08,"1,778.56",100,"11,950.69","9,897.26",9.13,12.77,14.79,28.14,21.6,3.46,0.39,3.44,0.0
189,CIPLA,31-Mar-15,"1,01,318.00","1,479.10","1,02,797.00","81,704.70","21,092.20","19,731.70","1,360.50","18,371.20","11,810.90","3,588.80",14.71,2,137.12,"1,499.63",100,"10,131.78","8,170.47",7.62,11.21,14.31,48.35,35.38,5.19,0.28,5.64,0.0
190,CIPLA,31-Mar-14,"93,802.90","2,802.80","96,605.70","73,907.60","22,698.10","21,419.50","1,278.60","20,140.90","13,883.40","4,300.00",17.29,3,125.31,"1,284.75",100,"9,456.90","7,467.37",10.53,14.67,18.73,22.19,18.0,3.06,0.52,3.26,0.0
191,CIPLA,01-Jul-13,"82,024.20","2,291.30","84,315.50","60,832.80","23,482.70","23,148.90",333.8,"22,815.10","15,071.10","5,047.50",18.77,4,110.36,969.28,100,"8,202.42","6,083.28",13.92,18.38,23.53,20.23,16.84,3.44,0.53,3.72,0.0
192,AUROPHARMA,31-Mar-16,"91,661.80",392.9,"92,054.70","67,371.50","24,683.20","24,030.50",652.7,"23,377.80","16,196.70","5,203.80",27.73,0,116.38,809.79,250,"9,166.18","6,717.14",14.62,26.62,25.24,26.92,23.16,6.4,0.34,4.76,0.0
193,AUROPHARMA,31-Mar-15,"80,951.00",423.2,"81,374.20","58,953.50","22,420.70","21,854.90",565.8,"21,289.10","15,163.40","4,240.00",52.01,1,183.55,668.75,450,"8,095.10","5,844.68",16.13,32.36,26.6,11.75,20.23,6.65,0.37,4.4,0.0
194,AUROPHARMA,31-Mar-14,"71,107.10",328.7,"71,435.80","53,515.20","17,920.60","17,054.40",866.2,"16,188.20","11,720.90","3,473.80",40.24,2,137.65,514.21,300,"7,110.71","5,191.24",15.22,33.72,28.57,6.35,10.97,3.71,0.59,2.09,0.0
195,AUROPHARMA,01-Jul-13,"54,251.00",150.1,"54,401.10","44,670.40","9,730.70","7,345.10","1,147.40","6,197.70","4,959.90",671.3,17.04,3,100.93,431.42,150,"5,425.10","4,467.04",7.74,18.26,14.77,8.57,6.37,1.45,1.03,0.78,0.0
196,TECHM,31-Mar-17,"2,31,654.00","8,929.40","2,40,583.00","1,94,936.00","45,647.30","45,009.40",637.9,"44,371.50","30,473.30","8,314.00",31.37,0,167.89,"7,744.40",180,"23,165.40","19,860.70",13.78,19.8,22.64,14.68,12.19,2.74,1.96,1.93,0.0
197,TECHM,31-Mar-16,"2,09,698.00","11,084.30","2,20,782.00","1,75,561.00","45,221.00","44,687.80",533.2,"44,154.60","32,200.00","7,033.00",33.4,1,149.29,"7,429.00",240,"20,969.80","17,703.20",17.04,25.1,28.36,14.49,12.38,3.18,2.52,2.19,0.0
198,TECHM,31-Mar-15,"1,91,626.00","3,246.20","1,94,873.00","1,61,362.00","33,510.40","34,037.50",85.6,"33,951.90","22,562.30","6,742.30",23.58,2,112.87,"7,201.20",120,"19,162.70","16,256.30",14.48,23.49,29.55,26.81,22.22,5.58,0.95,3.16,0.0
199,TECHM,31-Mar-14,"1,62,951.00","3,130.30","1,66,082.00","1,29,765.00","36,316.50","36,648.20",770.8,"35,877.40","26,854.70","5,523.70",115.02,3,358.44,"6,971.50",200,"16,295.10","13,170.60",24.87,43.11,45.9,3.9,13.46,5.01,1.11,2.57,0.0
200,TECHM,01-Jul-13,"60,018.90",339.5,"60,358.40","49,681.00","10,677.40","9,742.30",935.1,"8,807.20","6,525.20","1,647.00",50.93,4,319.34,"2,513.80",50,"6,001.90","4,954.70",9.71,17.43,18.24,5.2,16.76,3.32,0.47,2.26,0.0
201,DRREDDY,31-Mar-17,"97,198.00","5,912.00","1,03,110.00","79,742.00","23,368.00","22,796.00",572,"22,224.00","13,841.00","1,604.00",83.05,0,694.83,"1,803.30",400,"9,719.80","7,974.20",8.17,11.78,11.0,31.53,20.6,3.79,0.76,4.49,0.0
202,DRREDDY,31-Mar-16,"1,02,077.00","2,448.00","1,04,525.00","78,037.00","26,488.00","22,291.00",638,"21,653.00","13,545.00","2,255.00",79.42,1,702.69,"1,693.40",400,"10,291.90","8,226.60",7.5,12.2,12.04,37.67,25.58,4.32,0.66,5.03,0.0
203,DRREDDY,31-Mar-15,"1,00,109.00","2,228.50","1,02,338.00","76,199.40","26,138.50","25,500.50",638,"24,862.50","16,793.50","3,804.70",98.6,2,618.75,"1,490.90",400,"10,011.00","7,619.90",9.37,16.97,16.49,35.39,27.39,5.64,0.57,5.94,0.0
204,DRREDDY,31-Mar-14,"97,280.50","1,514.60","98,795.10","69,663.10","29,132.00","28,348.90",783.1,"27,565.80","19,328.40","5,215.50",113.63,3,543.33,"1,419.90",360,"9,728.00","7,004.50",12.7,22.79,23.15,22.55,18.84,4.71,0.7,4.48,0.0
205,DRREDDY,01-Jul-13,"84,340.10","1,417.10","85,757.20","64,483.40","21,273.80","20,659.80",614,"20,045.80","12,654.70","4,876.60",74.51,4,454.35,"1,138.10",300,"8,434.00","6,448.30",9.98,17.6,20.01,23.7,19.0,3.89,0.85,3.56,0.0
206,BANKBARODA,31-Mar-17,"4,21,999.00","67,580.60","4,89,580.00","92,964.00","1,09,751.00",0,"2,86,865.00","-2,86,865.00","13,831.30","10,895.60",6.0,0,0,,0,,,0.2,3.8,6.05,28.81,21.04,1.09,0.69,0.94,0.04
207,BANKBARODA,31-Mar-16,"4,40,613.00","49,988.60","4,90,601.00","89,231.30","88,155.70","-66,980.80","3,13,214.00","-3,80,194.80","-53,955.50","-13,025.30",-23.89,1,0,,0,,,-0.78,-14.4,-6.15,0.0,-6.93,0.94,0.0,0.77,0.04
208,BANKBARODA,31-Mar-15,"4,29,636.00","44,020.00","4,73,656.00","76,741.30","99,151.00",0,"2,97,763.00","-2,97,763.00","33,984.30","20,221.70",15.83,2,0,,0,,,0.49,9.21,10.27,10.63,9.66,0.93,1.96,0.84,0.04
209,BANKBARODA,31-Mar-14,"3,89,397.00","44,627.40","4,34,024.00","70,748.70","93,532.20","54,973.10","2,69,744.00","-2,14,770.90","45,410.80","9,562.30",107.38,3,0,,0,,,0.75,13.8,11.04,1.36,6.34,0.89,2.98,0.8,0.03
210,BANKBARODA,01-Jul-13,"3,51,966.00","36,306.30","3,88,273.00","58,721.10","90,737.80","48,312.30","2,38,814.00","-1,90,501.70","44,807.20","3,505.10",108.84,4,0,,0,,,0.9,15.68,11.44,1.27,5.97,0.93,3.17,0.81,0.03
211,ACCLTD,DEC'16,"1,11,583.00","1,127.10","1,12,710.00","97,413.40","15,297.10","14,140.30",728.7,"13,411.60","6,024.00","2,064.70",32.08,0,461.22,778.31,170,"11,158.34","9,747.30",4.58,7.04,10.26,41.41,20.66,2.88,1.28,2.24,0.0
212,ACCLTD,DEC'15,"1,17,968.00","1,193.50","1,19,162.00","1,02,597.00","16,565.20","14,360.30",673.2,"13,687.10","5,915.70","1,924.00",31.51,1,449.69,769.87,170,"11,796.83","10,268.98",4.64,7.09,10.19,43.15,20.53,3.02,1.25,2.16,0.0
213,ACCLTD,DEC'14,"1,17,382.00","2,682.80","1,20,065.00","1,02,310.00","17,755.40","16,927.80",827.6,"16,100.20","11,682.90",-330.9,62.33,2,438.64,746.59,340,"11,738.21","10,248.61",9.44,14.55,15.13,22.49,15.22,3.19,2.43,2.24,0.0
214,ACCLTD,DEC'13,"1,11,689.00","2,237.90","1,13,927.00","95,401.50","18,525.80","18,009.10",516.7,"17,492.40","10,957.60","1,312.00",58.3,3,416.76,661.27,300,"11,149.61","9,528.28",9.12,14.41,17.4,18.99,12.46,2.66,2.71,1.87,0.0
215,ACCLTD,DEC'12,"1,13,580.00","2,648.20","1,16,228.00","91,623.80","24,604.00","20,103.70","1,146.50","18,957.20","10,611.90","3,903.00",56.46,4,393.21,616.65,300,"11,357.96","9,162.38",8.87,14.56,21.52,25.29,16.57,3.64,2.1,2.36,0.0
216,TATAPOWER,31-Mar-17,"72,180.60","9,138.30","81,318.90","51,084.20","30,234.70","11,403.40","12,956.80","-1,553.40","2,834.50","2,226.80",0.63,0,53.61,660.8,130,"7,202.25","5,184.21",0.76,1.94,6.01,86.35,26.67,1.69,1.44,3.4,0.0
217,TATAPOWER,31-Mar-16,"88,196.50","5,551.30","93,747.80","57,787.30","35,960.50","18,321.70","11,559.90","6,761.80","7,716.20","3,949.00",2.36,1,54.61,648.47,130,"8,690.51","6,241.27",3.97,8.95,10.37,12.9,8.92,1.18,2.01,2.01,0.0
218,TATAPOWER,31-Mar-15,"86,776.90","10,246.80","97,023.70","65,639.70","31,384.00","20,909.40","10,474.60","10,434.80","10,102.90","5,053.60",3.3,2,54.86,686.52,130,"8,250.19","6,563.97",3.15,7.11,9.58,20.64,13.15,1.35,1.69,2.53,0.0
219,TATAPOWER,31-Mar-14,"86,270.40","6,557.60","92,828.00","63,362.90","29,465.10","20,783.00","8,682.10","12,100.90","9,540.80","5,370.80",4.02,3,51.64,544.95,125,"8,675.53","6,384.78",3.25,7.58,9.57,21.09,13.05,1.56,1.47,2.32,0.0
220,TATAPOWER,01-Jul-13,"95,672.80","7,216.70","1,02,890.00","75,432.20","27,457.30","20,674.80","6,782.50","13,892.30","10,246.90","6,786.90",4.32,4,48.98,547.6,115,"9,567.28","7,537.93",3.86,8.51,10.6,21.54,16.47,1.87,1.19,2.39,0.0
