,stock_ticker,Year,Sales Turnover,Other Income,Total Income,Total Expenses,Operating profit,Gross Profit,Interest,PBDT,Depreciation,PBT,Tax,Net Profit,Earnings Per Share,Equity,Preference Capital
0,tatamotors,MAR'17,"1,50,924.00","3,695.90","1,54,620.00","1,47,277.00","7,343.30",-84.90,"4,545.20","-4,630.10",0.00,"-8,181.10",109.30,"-8,290.40",-2.44,"6,792.20",0.00
1,tatamotors,DEC'16,"1,12,216.00",939.50,"1,13,156.00","1,11,452.00","1,704.10","-3,026.50","4,137.30","-7,163.80",0.00,"-10,316.10",143.30,"-10,459.40",-3.08,"6,792.20",0.00
2,tatamotors,SEP'16,"1,03,224.00","1,460.20","1,04,685.00","1,00,163.00","4,522.10","1,096.50","3,727.70","-2,631.20",0.00,"-6,089.20",218.40,"-6,307.60",-1.86,"6,791.80",0.00
3,tatamotors,JUN'16,"1,03,196.00","6,245.50","1,09,441.00","97,452.70","11,988.30","7,501.10","3,400.70","4,100.40",0.00,378.70,121.20,257.50,0.16,"6,791.80",0.00
4,tatamotors,MAR'16,"1,25,698.00","4,600.60","1,30,298.00","1,16,734.00","13,564.20","9,836.70","3,438.30","6,398.40",0.00,"3,696.60",-953.30,"4,649.90",1.35,"6,791.80",0.00
0,sunpharma,MAR'17,"20,171.70",164.50,"20,336.20","18,378.90","1,957.30","1,948.40",8.90,"1,939.50",0.00,881.60,-64.70,946.30,0.40,"2,399.30",0.00
1,sunpharma,DEC'16,"19,352.60",775.50,"20,128.10","19,550.00",578.10,-563.00,"1,141.10","-1,704.10",0.00,"-1,600.10",26.50,"-1,626.60",-0.70,"2,399.20",0.00
2,sunpharma,SEP'16,"20,293.60","2,940.00","23,233.60","20,255.80","2,977.80","2,905.90",71.90,"2,834.00",0.00,"1,874.20",28.80,"1,845.40",0.80,"2,406.70",0.00
3,sunpharma,JUN'16,"17,782.90","1,264.10","19,047.00","18,463.40",583.60,-430.10,"1,013.70","-1,443.80",0.00,"-1,480.10",34.50,"-1,514.60",-0.60,"2,406.70",0.00
4,sunpharma,MAR'16,"18,978.80","3,495.90","22,474.70","19,970.80","2,503.90","1,824.20",679.70,"1,144.50",0.00,625.00,7.90,617.10,0.30,"2,406.60",0.00
